"Repository","Title","Call No.","Language(s)","Date","CompuDate","Place","Keywords","Front Cover","OPenn Record","Data","Page Turning","Penn in Hand Record","Summary","Collation View","Online","Month Photographed"
"Free Library of Philadelphia","Liber de vinis","Lewis E 18","German, Middle High (ca.1050-1500)","Circa early 15th century","1400-1415","Germany","15th century;German;Germany;Science -- Medicine;Gothic;Paper;Treatise;Gloss","http://openn.library.upenn.edu/Data/0023/lewis_e_018/data/web/4221_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_018.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_018.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_018/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_018/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_018/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_018/index.html#page/1/mode/2up</a>,"","This manuscript is an early 15th-century German translation of Villanova's Liber de vinis, a medical treatise on the uses of wine.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_018/lewis_e_018.html">http://138.197.87.173/bibliophilly/collation/lewis_e_018/lewis_e_018.html</a>,"Online? Yes",""
"Free Library of Philadelphia","De sermone domini in monte habito (On the sermon on the mount) and other treatises; De superbia (On pride) and other treatises; Expositio dominice orationis (Exposition on the lord's prayer)","Lewis E 21","Latin","14th century; fols. 87-97 in a later hand (de Ricci)","1300-1399","Germany","Treatise;14th century;Christian;Germany;Scripture;Theology;Manicules","http://openn.library.upenn.edu/Data/0023/lewis_e_021/data/web/5955_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_021.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_021.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_021/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_021/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_021/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_021/index.html#page/1/mode/2up</a>,"","This manuscript contains a collection of religious treatises.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","De forma honestae vitae; De institutione monachorum","Lewis E 25","Latin","Circa 1450","1450","Germany","15th century;Treatise;German;Gothic;Germany;Theology;Church Fathers","http://openn.library.upenn.edu/Data/0023/lewis_e_025/data/web/5413_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_025.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_025.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_025/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_025/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_025/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_025/index.html#page/1/mode/2up</a>,"","This manuscript contains a collection of texts by Basil of Caesarea.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_025/lewis_e_025.html">http://138.197.87.173/bibliophilly/collation/lewis_e_025/lewis_e_025.html</a>,"Online? Yes",""
"Free Library of Philadelphia","De consideratione (On Consideration)","Lewis E 26","Latin","Rubbed-out ownership/library inscription on fol. 1v; early 15th century","1400-1415","Flanders?","Treatise;15th century;Flemish;Flanders;Belgium;Theology;Gothic","http://openn.library.upenn.edu/Data/0023/lewis_e_026/data/web/5222_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_026.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_026.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_026/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_026/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_026/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_026/index.html#page/1/mode/2up</a>,"","This early-fifteenth-century manuscript, possibly written in Flanders, contains three theological treatises. The first is Saint Bernard's De consideratione, the second is the De colloquio symonis et ihesu and the third is the De amore dei. A table of contents on fol. 1v attributes the three texts to Saint Bernard of Clairvaux but the second text is now thought to be by an anonymous author and the third is attributed to William of Saint-Thierry. The table of contents on fol. 1v also contains two additional titles which have been rubbed out and removed from the volume, as well as a rubbed-out ownership or library inscription.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_026/lewis_e_026.html">http://138.197.87.173/bibliophilly/collation/lewis_e_026/lewis_e_026.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Flores; religious miscellany","Lewis E 27","Latin","Circa 1450","1450","Flanders","15th century;Flanders;Flemish;Christian;Miscellany;Theology;Church Fathers;Gothic","http://openn.library.upenn.edu/Data/0023/lewis_e_027/data/web/4955_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_027.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_027.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_027/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_027/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_027/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_027/index.html#page/1/mode/2up</a>,"","This manuscript is a miscellany of religious texts by the Church Fathers including Bernard of Clairvaux, Augustine of Hippo, Gregory of Nyssa, Richard of St. Victor, Saint Jerome, and Anselm of Canterbury.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Bible","Lewis E 28","Latin","Mid- 13th century","1240-1260","Paris, France","13th century;French;France;Bible;Illustration;Scripture;Biblical;Christian","http://openn.library.upenn.edu/Data/0023/lewis_e_028/data/web/6003_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_028.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_028.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_028/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_028/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_028/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_028/index.html#page/1/mode/2up</a>,"","This compact Parisian bible contains the letter and prologue of Saint Jerome, the Latin text of the Vulgate, and an alphabetical list of Hebrew names with their interpretations. The final folio contains notes and finding aids in an early hand. The book was produced in the mid-thirteenth century. It is decorated with seven historiated initials (Saint Jerome, fol. 1r; the Seven Days of Creation, fol. 5r; Solomon Teaching, fol. 297r; the Martyrdom of Isaiah, fol. 338v; Hosea Speaking to God, fol. 427r; Saint Paul, fol. 529r; and the Ascension, fol. 163v). Foliate illuminated initials, some inhabited with zoomorphic motifs, mark the beginning of the remaining books. Chapters are marked by alternating red and blue initials with contrasting marginal sprays.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_028/lewis_e_028.html">http://138.197.87.173/bibliophilly/collation/lewis_e_028/lewis_e_028.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Bible","Lewis E 30","Latin","Oxford?; second quarter of the 13th century","1225-1250","England","Bible;13th century;England;English;Christian;Illustration;Scripture","http://openn.library.upenn.edu/Data/0023/lewis_e_030/data/web/4324_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_030.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_030.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_030/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_030/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_030/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_030/index.html#page/1/mode/2up</a>,"","This manuscript is a Bible with prologues (lacking the Psalms), written in England, possibly Oxford, in the second quarter of the thirteenth century.  It is decorated throughout with blue initials flourished with red; running titles and chapter numbers in alternating red and blue letters; and rubrication and touches to capitals in red ink.  It has frequent brief marginal notes from early owners, owner inscriptions from the sixteenth to the twentieth centuries, and a new parchment binding.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_030/lewis_e_030.html">http://138.197.87.173/bibliophilly/collation/lewis_e_030/lewis_e_030.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Bible","Lewis E 31","Latin","Circa 1230","1230","Oxford?, England","Bible;Christian;England;13th century","http://openn.library.upenn.edu/Data/0023/lewis_e_031/data/web/6027_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_031.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_031.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_031/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_031/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_031/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_031/index.html#page/1/mode/2up</a>,"","This manuscript is a Vulgate Bible written in England in the second quarter of the thirteenth century. It has typical layout in two columns and decorations of red and blue initials, running titles, and chapter numbers. The Bible is followed by a concordance written in three columns.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_031/lewis_e_031.html">http://138.197.87.173/bibliophilly/collation/lewis_e_031/lewis_e_031.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Bible; Notes on a church synod","Lewis E 32","Latin","Circa 1230","1230","Oxford?, England","Bible;Christian;13th century;England;Theology","http://openn.library.upenn.edu/Data/0023/lewis_e_032/data/web/6028_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_032.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_032.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_032/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_032/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_032/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_032/index.html#page/1/mode/2up</a>,"","This manuscript is a thirteenth-century Vulgate Bible, written in England, lacking the Psalms and the prologue before Genesis.  Many of the numerous brief marginal notes have been trimmed. The Bible is followed by the end of an incomplete Interpretation of Hebrew Names, starting in the letter S (fols. 249r-251r), and three pages of medieval notes (fols. 251v-252v). The published account of the first two articles (out of seven) agreed upon at a church synod that opened in London on 24 November 1584 is copied on a newer leaf at the end of the volume (fols. 253r-253v).",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Bible","Lewis E 33","Latin","Circa 1250","1250","Paris, France","Bible;13th century;France;French;Christian;Biblical;Illustration;Scripture","http://openn.library.upenn.edu/Data/0023/lewis_e_033/data/web/4318_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_033.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_033.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_033/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_033/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_033/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_033/index.html#page/1/mode/2up</a>,"","This manuscript is a thirteenth-century Paris Bible.",Collation View: <a href=""/>,"Online? Yes",""
"Free Library of Philadelphia","Bible","Lewis E 39","Latin","Possibly Siena or Venice; mid-13th century","1240-1260","Italy","Bible;13th century;Christian;Italian;Historiated initial;Musical notation;Italy;Scripture;Biblical","http://openn.library.upenn.edu/Data/0023/lewis_e_039/data/web/4322_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_039.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_039.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_039/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_039/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_039/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_039/index.html#page/1/mode/2up</a>,"","This manuscript is a northern Italian Bible from the middle of the thirteenth century. It is decorated with sixteen historiated initials and numerous decorated and pen-flourished intials. Scrap leaves with chant notation and an index of incipits precede the Bible text, and the index of Hebrew names follows it.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_039/lewis_e_039.html">http://138.197.87.173/bibliophilly/collation/lewis_e_039/lewis_e_039.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Bible","Lewis E 40","Latin","Early 14th century","1300-1315","Italy?","Bible;14th century;Italian;Christian;Italy;Scripture;Biblical;Scroll-work initial","http://openn.library.upenn.edu/Data/0023/lewis_e_040/data/web/4321_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_040.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_040.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_040/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_040/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_040/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_040/index.html#page/1/mode/2up</a>,"","This manuscript is an early fourteenth-century New Testament, possibly written in Italy. The end of the manuscript, including the end of Acts and the Apocalypse, is lacking, and a nonbiblical work, the Summa contra hereticos, appears between the Gospels and the Epistles. It is decorated with rubrics, running titles, and scrollwork initials in red.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_040/lewis_e_040.html">http://138.197.87.173/bibliophilly/collation/lewis_e_040/lewis_e_040.html</a>,"Online? Yes",""
"Free Library of Philadelphia","Biblical commentary","Lewis E 43","Latin","Circa 1425","1425","Germany","Commentary;Christian;14th century;15th century;Germany;Notable binding;Paper;Watermark","http://openn.library.upenn.edu/Data/0023/lewis_e_043/data/web/5632_0000_web.jpg",OPenn Record: <a href="http://openn.library.upenn.edu/Data/0023/html/lewis_e_043.html">http://openn.library.upenn.edu/Data/0023/html/lewis_e_043.html</a>,OPenn Data: <a href="http://openn.library.upenn.edu/Data/0023/lewis_e_043/data/">http://openn.library.upenn.edu/Data/0023/lewis_e_043/data/</a>,Page Turning: <a href="http://138.197.87.173/bibliophilly/BookReaders/lewis_e_043/index.html#page/1/mode/2up">http://138.197.87.173/bibliophilly/BookReaders/lewis_e_043/index.html#page/1/mode/2up</a>,"","This manuscript contains a fifteenth-century commentary on the Epistles of Saint Paul written by the theologian Nicholas of Lyra (1270-1340), who taught at the Sorbonne in Paris in the early fourteenth century.",Collation View: <a href="http://138.197.87.173/bibliophilly/collation/lewis_e_043/lewis_e_043.html">http://138.197.87.173/bibliophilly/collation/lewis_e_043/lewis_e_043.html</a>,"Online? Yes",""
